State,City_Region,Suburb,Postcode,Longitude,Latitude
ACT,Snowy Monaro,Beard,2620,149.21,-35.3413
ACT,Snowy Monaro,Booth,2620,149.21,-35.3413
ACT,Snowy Monaro,Hume,2620,149.17,-35.387
ACT,Snowy Monaro,Kowen,2620,149.21,-35.3413
ACT,Snowy Monaro,Kowen Forest,2620,149.251769,-35.302744
ACT,Snowy Monaro,Oaks Estate,2620,149.229,-35.341
ACT,Snowy Monaro,Paddys River,2620,149.21,-35.3413
ACT,Snowy Monaro,Tennent,2620,149.21,-35.3413
ACT,Snowy Monaro,Tharwa,2620,149.066667,-35.516667
ACT,Snowy Monaro,Top Naas,2620,149.066783,-35.633288
ACT,Snowy Monaro,Williamsdale,2620,149.21,-35.3413
ACT,Snowy Valleys,Chapman,2611,149.04,-35.357
ACT,Snowy Valleys,Coombs,2611,149.045,-35.3189
ACT,Snowy Valleys,Coree,2611,148.708981,-35.573142
ACT,Snowy Valleys,Denman Prospect,2611,149.024,-35.3031
ACT,Snowy Valleys,Duffy,2611,149.035,-35.337
ACT,Snowy Valleys,Fisher,2611,149.057,-35.361
ACT,Snowy Valleys,Holder,2611,149.045,-35.336
ACT,Snowy Valleys,Molonglo,2611,149.0415,-35.2986
ACT,Snowy Valleys,Mount Stromlo,2611,149.010474,-35.316162
ACT,Snowy Valleys,Pierces Creek,2611,148.898703,-35.370571
ACT,Snowy Valleys,Rivett,2611,149.038,-35.348
ACT,Snowy Valleys,Stirling,2611,149.05,-35.349
ACT,Snowy Valleys,Stromlo,2611,148.708981,-35.573142
ACT,Snowy Valleys,Uriarra Forest,2611,148.891976,-35.305382
ACT,Snowy Valleys,Uriarra Village,2611,148.923,-35.297
ACT,Snowy Valleys,Waramanga,2611,149.063,-35.353
ACT,Snowy Valleys,Weston,2611,149.059,-35.338
ACT,Snowy Valleys,Weston Creek,2611,149.052525,-35.341016
ACT,Snowy Valleys,Whitlam,2611,148.708981,-35.573142
ACT,Snowy Valleys,Wright,2611,149.033,-35.317
ACT,Unincorp. Other Territories,Jervis Bay,2540,150.704872,-35.131053
ACT,Unincorp. Other Territories,Wreck Bay,2540,150.519323,-34.895649
ACT,Unincorporated ACT,Acton,2601,149.119444,-35.279444
ACT,Unincorporated ACT,Ainslie,2602,149.144167,-35.262778
ACT,Unincorporated ACT,Amaroo,2914,149.128889,-35.171389
ACT,Unincorporated ACT,Aranda,2614,149.08,-35.258333
ACT,Unincorporated ACT,Banks,2906,149.095,-35.473
ACT,Unincorporated ACT,Barton,2600,149.134444,-35.307778
ACT,Unincorporated ACT,Belconnen,2617,149.092696,-35.228161
ACT,Unincorporated ACT,Black Mountain,2601,149.114234,-35.274836
ACT,Unincorporated ACT,Bonner,2914,149.13322,-35.16413
